traffic,sta_type,nPedca,min_p99_CWds,min_p99_QSRC,min_p99_PSRC,min_P50_us,min_P95_us,min_P99_us,default_P50_us,default_P95_us,default_P99_us,EDCA_only_P50_us,EDCA_only_P95_us,EDCA_only_P99_us,gain_vs_default_P50_%,gain_vs_default_P95_%,gain_vs_default_P99_%,gain_vs_EDCA_P50_%,gain_vs_EDCA_P95_%,gain_vs_EDCA_P99_%
CBR,All STAs,5,1,4,1,2167.5,7707.5,10257.5,2622.5,7907.5,11257.5,2407.5,7912.5,10882.5,17.3,2.5,8.9,10.0,2.6,5.7
CBR,All STAs,15,0,5,3,2317.5,7907.5,11062.5,2932.5,7932.5,11752.5,2407.5,7912.5,10882.5,21.0,0.3,5.9,3.7,0.1,-1.7
CBR,All STAs,30,0,5,1,2337.5,7887.5,11032.5,3117.5,7957.5,12342.5,2407.5,7912.5,10882.5,25.0,0.9,10.6,2.9,0.3,-1.4
CBR,P-EDCA STAs,5,1,1,3,1877.5,4777.5,7722.5,2812.5,6722.5,9317.5,2407.5,7912.5,10882.5,33.2,28.9,17.1,22.0,39.6,29.0
CBR,P-EDCA STAs,15,1,5,3,2287.5,7762.5,8847.5,3047.5,7432.5,10962.5,2407.5,7912.5,10882.5,24.9,-4.4,19.3,5.0,1.9,18.7
CBR,P-EDCA STAs,30,0,5,1,2337.5,7887.5,11032.5,3117.5,7957.5,12342.5,2407.5,7912.5,10882.5,25.0,0.9,10.6,2.9,0.3,-1.4
CBR,Legacy STAs,5,1,4,1,2207.5,7727.5,10512.5,2542.5,8082.5,11502.5,2407.5,7912.5,10882.5,13.2,4.4,8.6,8.3,2.3,3.4
CBR,Legacy STAs,15,0,5,1,2597.5,8182.5,11712.5,2727.5,8287.5,12302.5,2407.5,7912.5,10882.5,4.8,1.3,4.8,-7.9,-3.4,-7.6
MMPP,All STAs,5,1,4,1,1967.5,10317.5,14032.5,1952.5,10312.5,14197.5,1822.5,10142.5,13747.5,-0.8,-0.0,1.2,-8.0,-1.7,-2.1
MMPP,All STAs,15,1,4,1,2077.5,10387.5,14232.5,2107.5,10497.5,14712.5,1822.5,10142.5,13747.5,1.4,1.0,3.3,-14.0,-2.4,-3.5
MMPP,All STAs,30,1,3,1,2202.5,10072.5,14532.5,2057.5,10117.5,14712.5,1822.5,10142.5,13747.5,-7.0,0.4,1.2,-20.9,0.7,-5.7
MMPP,P-EDCA STAs,5,1,2,3,1782.5,6277.5,8997.5,1802.5,7322.5,12187.5,1822.5,10142.5,13747.5,1.1,14.3,26.2,2.2,38.1,34.6
MMPP,P-EDCA STAs,15,1,3,3,2337.5,8982.5,12747.5,2022.5,9077.5,13787.5,1822.5,10142.5,13747.5,-15.6,1.0,7.5,-28.3,11.4,7.3
MMPP,P-EDCA STAs,30,1,3,1,2202.5,10072.5,14532.5,2057.5,10122.5,14712.5,1822.5,10142.5,13747.5,-7.0,0.5,1.2,-20.9,0.7,-5.7
MMPP,Legacy STAs,5,1,5,1,1942.5,10497.5,14257.5,1997.5,10752.5,14497.5,1822.5,10142.5,13747.5,2.8,2.4,1.7,-6.6,-3.5,-3.7
MMPP,Legacy STAs,15,0,5,1,2157.5,11227.5,14887.5,2232.5,11587.5,15402.5,1822.5,10142.5,13747.5,3.4,3.1,3.3,-18.4,-10.7,-8.3
On-Off,All STAs,5,1,3,1,1687.5,9282.5,13667.5,1752.5,9627.5,14022.5,1742.5,9372.5,13517.5,3.7,3.6,2.5,3.2,1.0,-1.1
On-Off,All STAs,15,1,4,1,1807.5,9177.5,13992.5,1832.5,10047.5,14692.5,1742.5,9372.5,13517.5,1.4,8.7,4.8,-3.7,2.1,-3.5
On-Off,All STAs,30,1,5,1,1892.5,9472.5,14062.5,1797.5,9957.5,15052.5,1742.5,9372.5,13517.5,-5.3,4.9,6.6,-8.6,-1.1,-4.0
On-Off,P-EDCA STAs,5,1,3,3,1427.5,4867.5,8787.5,1542.5,6427.5,12532.5,1742.5,9372.5,13517.5,7.5,24.3,29.9,18.1,48.1,35.0
On-Off,P-EDCA STAs,15,1,4,3,1812.5,7492.5,11782.5,1677.5,8542.5,13857.5,1742.5,9372.5,13517.5,-8.0,12.3,15.0,-4.0,20.1,12.8
On-Off,P-EDCA STAs,30,1,5,1,1892.5,9477.5,14072.5,1797.5,9962.5,15052.5,1742.5,9372.5,13517.5,-5.3,4.9,6.5,-8.6,-1.1,-4.1
On-Off,Legacy STAs,5,1,3,1,1757.5,9707.5,13932.5,1817.5,10082.5,14292.5,1742.5,9372.5,13517.5,3.3,3.7,2.5,-0.9,-3.6,-3.1
On-Off,Legacy STAs,15,1,5,1,1862.5,10347.5,14757.5,2032.5,11132.5,15352.5,1742.5,9372.5,13517.5,8.4,7.1,3.9,-6.9,-10.4,-9.2
