bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
350.0,355.0,352.5,0.03079998,0.1539999,0
355.0,360.0,357.5,0.06304,0.3152,0
360.0,365.0,362.5,0.00584889,0.02924445,0
390.0,395.0,392.5,2.66666e-05,0.000133333,0
395.0,400.0,397.5,3.55556e-05,0.000177778,0
405.0,410.0,407.5,6.22222e-05,0.000311111,0
415.0,420.0,417.5,2.66666e-05,0.000133333,0
425.0,430.0,427.5,5.33334e-05,0.000266667,0
435.0,440.0,437.5,2.66666e-05,0.000133333,0
440.0,445.0,442.5,3.55556e-05,0.000177778,0
450.0,455.0,452.5,4.44444e-05,0.000222222,0
460.0,465.0,462.5,0.000951112,0.00475556,0
465.0,470.0,467.5,0.001351112,0.00675556,0
470.0,475.0,472.5,0.001164444,0.00582222,0
475.0,480.0,477.5,0.001671112,0.00835556,0
480.0,485.0,482.5,0.001333334,0.00666667,0
485.0,490.0,487.5,0.001431112,0.00715556,0
490.0,495.0,492.5,0.001093334,0.00546667,0
495.0,500.0,497.5,0.001004444,0.00502222,0
515.0,520.0,517.5,0.001031112,0.00515556,0
520.0,525.0,522.5,0.001182222,0.00591111,0
525.0,530.0,527.5,0.001448888,0.00724444,0
530.0,535.0,532.5,0.001164444,0.00582222,0
535.0,540.0,537.5,0.001635556,0.00817778,0
540.0,545.0,542.5,0.001315556,0.00657778,0
545.0,550.0,547.5,0.001484444,0.00742222,0
550.0,555.0,552.5,0.000737778,0.00368889,0
